Title,Company,Location,Summary
"Internship - Machine Learning, Data Science & Artificial Intelligence","
        Xen.ai","Delhi, Delhi","
            Must have basic knowledge of Machine Learning, Data Science and Artificial Intelligence. Interns will work on developing solutions using Machine Learning, Data..."
Data Scientist,"
        Deep Blue Insights","Delhi, Delhi","
            To include data scrapping, data cleaning and building data repository in server using MongoDB. Responsibilities to include data scrapping, data cleaning and..."
Data Scientist,"

        Airbus","Delhi, Delhi","
            Support Airbus managers to understand potential uses of data analytics / AI in the business and to maximize the value of data analysts / scientists in their..."
Data Scientist,"
        Pinnacle Digital Analytics","Delhi, Delhi","
            Be part of a strong team of data scientists working on next generation of analytics platform in the domain of network monitoring and customer experience..."
Data Entry Operator/ Data Operator/ Data Analyst/ Computer Operator,"
        Lex Meridian – New Delhi, Delhi & London","New Delhi, Delhi","
            Position for Executive Data Entry. Exporting / typing data in excel sheets. Entering data from source documents within time limits...."
Data Science Internship,"
        Socialcops","New Delhi, Delhi","
            You will be responsible for data modelling, cleaning, structuring, and handling data sets under the mentorship of our data scientists and economists...."
Data Analyst,"
        Bhagwati Air Express Pvt. Ltd.","Delhi, Delhi","
            Collecting and interpreting data. Defining new data collection and analysis processes. URGENT OPENING FOR DATA ANALYST ( ONLY FEMALE CANDIDATE CAN APPLY)*. No...."
Assistant Data Analyst,"
        Tools4trade","Delhi, Delhi","
            Reporting and data management. Extracts, compiles and interprets key operational and statistical data. We are looking for an experienced data analyst with..."
Data Management Executive / Data Analyst -Chawri Bazaar,"

        Manufacturing and Engineering","New Delhi, Delhi","
            Designation - Data Management Executive / Data Analyst*. Should be Efficient for fast data entry and analysis...."
Data Scientist,"
        GoPaisa","Delhi, Delhi","
            Exposure in delivery of an automated search and indexing process with experience in Indexing data from structured and unstructured data stores, databases, and..."
Data Scientist,"
        cube26","Delhi, Delhi","
            You will have the chance to work on large volume of data and make meaningful inferences from these data. As a full time Data Scientist engineer at Cube26 you..."
Data Analyst,"
        Clickr Estore Pvt. Ltd.","Delhi, Delhi","
            Preparing the data accordingly. The position is that of a Data Analyst, all sorts of data related to inventory, finance, marketing, etc. etc...."
Data Analytics Internship,"
        RedCarpetUp","Delhi, Delhi","
Data normalization and analysis in core NumPy/pandas 2. We crunch alternative data sources and use them to build honest & sustainable credit for people in India..."
Junior Data Analyst,"
        Bhagwati Air Express Pvt. Ltd.","Delhi, Delhi","
            Collecting and interpreting data. URGENT OPENING FOR DATA ANALYST JOB*. Defining new data collection and analysis processes. No...."
Machine Learning,"
        Chariot Tech","Delhi, Delhi","
            Build and enhance tools to mine data at scale. Thorough knowledge of data structures, algorithms, profiling/optimization, and Object-Oriented and Functional..."
Data Scientist,"
        Fitfyles","New Delhi, Delhi","
            As Data Scientist eager to jump into brand new learning experiences, you’ll have fun analyzing complex, massive data sets...."
Data Scientist,"

        Lybrate","Delhi, Delhi","
            People in Data Scientist role at Lybrate are passionate for Internet technology and help further strategic decisions...."
Data Scientist,"
        CaaStle","New Delhi, Delhi","
            Experience in visualizing/presenting data for stakeholders using Tableau. What you'll do:...."
Data Scientist,"

        Chegg","New Delhi, Delhi","
            Advanced knowledge in data manipulation and data visualization. It is a team composed of data scientists, statisticians and business analysts...."
Data Scientist (CUDA/Computer Vision),"
        8Minutes","Delhi, Delhi","
            Ability and experience dealing with very granular data – preferably from a Hadoop data storage platform. Strong Data Visualization and Communication...."
Looking for fresher or experienced Data Analytics Trainer,"
        Excelligent India","Delhi, Delhi","
            Excelligent India is looking for fresher or experienced Data Analytics trainer. Is the pioneer training provider for US CMA, UK CISI, Data Analytics and..."
Machine Learning Engineer,"

        Lybrate","Delhi, Delhi","
            People in Data Scientist role at Lybrate are passionate for Internet technology and help further strategic decisions...."
Data Analyst,"
        Mind Works Global","Delhi, Delhi","
            Creating holistic business dashboards by pulling data from different data sources/tools. Implementing recognition programs for influencersWork with external..."
Data Analytics Internship,"
        Groomefy","Delhi, Delhi","
            Applying logics to find interesting patterns in the data 3. Managing & manipulating the intense amount of data in Excel before entry into the system 2...."
Data Analytics Internship,"

        Skribe","Delhi, Delhi","
            Extracting data from text files and web page. Proficient in Python language Knowledge of web crawling/web scraping in Python is a must Parsing data such as XML,..."
Data Analytics,"
        Detecvision Technologies","New Delhi, Delhi","
            Able to Data validatio. Good Understanding of Data Analytics. Able to get and upload data over the site. Able to communicate with clients...."
"SAS Developer, SAS FF Specialist & SAS Data Analyst at Delhi","
        Cranium IT","Delhi, Delhi","
            We have an urgent requirement for SAS Developer, SAS FF Specialist & SAS Data Analyst at Delhi.If you're interested in this opportunity, please share your..."
Data Analyst,"
        Kraftly / KartRocket","Delhi, Delhi","
            We are looking for a Data Scientist who will help our product, business, support and leadership teams take data centric decisions based on information and..."
Senior Business Analyst/ Data scientist,"
        Hindustan Adhesive","Delhi, Delhi","
            *Job Summary* Google Speed sheet Data Studio Spread Sheet Automation App maker Benefits PF ESIC BONUS Job Type: Full-time Experience: * work: 4..."
Data Analyst,"
        Edunuts","Connaught Place, Delhi, Delhi","
            Enter data into prescribed computer database, files and forms. Review data for deficiencies or errors, correct any incompatibilities if possible...."
Data Scientist (Python AI Expertise),"
        DataGroup","New Delhi, Delhi","
            Independent role in data scientist. Data scientist duties*typically include creating various machine learning-based tools or processes within the company, such..."
Head of Machine Learning/Artificial Intelligence Growth Team - AISPL,"

        AISPL - Delhi","Delhi, Delhi","
            Strong analytical skills and a demonstrated ability to turn detailed data analysis into useful, strategic insights for business recommendations...."
Sales Manager - BI and Analytics,"
        ImpactCX","New Delhi, Delhi","
            New Delhi/NCR Job Description: We are establishing our presence in India and are looking for passionate, self driven individuals with software sales and..."
Data Scientist ( Python AI ),"
        Desprin Enterprises Pvt Ltd","New Delhi, Delhi","
Data Scientist (Python AI Expertise). Data extraction, data mining, visualization, storytelling. Good understanding of data structures...."
Data Visualizations and Analytics,"
        Opinia360","New Delhi, Delhi","
            Acquire data from primary or secondary data sources and maintain databases/data systems. Technical expertise regarding data models, database design development,..."
Data Analyst,"

        Chegg","New Delhi, Delhi","
Data Analyst | Data Analytics. We use a world-class set of data analysis and BI tools to transform our data into insights and then into knowledge...."
Sr. Data Analyst,"
        Bobble App","Delhi, Delhi","
            We are looking for an experienced Data Analyst with prior knowledge of Hadoop, Spark, Hive and Scala. 2+ years experience...."
Data Analyst,"

        POPxo","New Delhi, Delhi","
            Turning common queries into beautiful visual reports using Google Data Studio. You’re skilled at running complicated SQL queries - aggregating, pivoting and..."
Data Analyst AssociateZobello,"
        Zobello","New Delhi, Delhi","
            Graduate with 1-2 years of experience in data analysis, data mining/modeling. Zobello is looking for a Data Analyst Associate who will be responsible for..."
Data Analyst,"

        SSPL","New Delhi, Delhi","
            We are looking for a Data Analyst Executive. Should have worked in either of technologies Sql Query/ Tableau/ Excel (Macros)/ Access (Query) writing for data..."
